,English,Portuguese
0,board,quadro
1,boat,barco
2,bone,osso
3,book,livro
4,boot,bota
5,bottle,garrafa
6,box,caixa
7,boy,menino
8,brain,cérebro
9,brake,freio
10,branch,galho
11,brick,tijolo
12,bridge,ponte
13,brush,escova
14,bucket,balde
15,bulb,lâmpada
16,button,botão
17,cake,bolo
18,camera,câmera
19,card,cartão
20,cart,carrinho
21,carriage,carruagem
22,cat,gato
23,chain,corrente
24,cheese,queijo
25,chest,peito
26,chin,queixo
27,church,igreja
28,circle,círculo
29,clock,relógio
30,cloud,nuvem
31,coat,casaco
32,collar,colarinho
33,comb,pente
34,cord,fio
35,cow,vaca
36,cup,xícara
37,curtain,cortina
38,cushion,almofada
39,dog,cachorro
40,door,porta
41,drain,ralo
42,drawer,gaveta
43,dress,vestido
44,drop,gota
45,ear,orelha
46,egg,ovo
47,engine,motor
48,eye,olho
49,face,rosto
50,farm,fazenda
51,feather,pena
52,finger,dedo
53,fish,peixe
54,flag,bandeira
55,floor,chão
56,fly,mosca
57,foot,pé
58,fork,garfo
59,fowl,ave
60,frame,quadro
61,garden,jardim
62,girl,menina
63,glove,luva
64,goat,cabra
65,gun,arma
66,hair,cabelo
67,hammer,martelo
68,hand,mão
69,hat,chapéu
70,head,cabeça
71,heart,coração
72,hook,gancho
73,horn,chifre
74,horse,cavalo
75,hospital,hospital
76,house,casa
77,island,ilha
78,jewel,joia
79,kettle,chaleira
80,key,chave
81,knee,joelho
82,knife,faca
83,knot,nó
84,leaf,folha
85,leg,perna
86,library,biblioteca
87,line,linha
88,lip,lábio
89,lock,cadeado
90,map,mapa
91,match,fósforo
92,monkey,macaco
93,moon,lua
94,mouth,boca
95,muscle,músculo
96,nail,unha
97,neck,pescoço
98,needle,agulha
99,nerve,nervo
100,net,rede
101,nose,nariz
102,nut,noz
103,office,escritório
104,orange,laranja
105,oven,forno
106,parcel,pacote
107,pen,caneta
108,pencil,lápis
109,picture,imagem
110,pig,porco
111,pin,alfinete
112,pipe,cano
113,plane,avião
114,plate,prato
115,plough,arado
116,pocket,bolso
117,pot,panela
118,potato,batata
119,prison,prisão
120,pump,bomba
121,rail,trilho
122,rat,rato
123,receipt,recibo
124,ring,anel
125,rod,vara
126,roof,telhado
127,root,raiz
128,sail,vela (de barco)
129,school,escola
130,scissors,tesoura
131,screw,parafuso
132,seed,semente
133,sheep,ovelha
134,shelf,prateleira
135,ship,navio
136,shirt,camisa
137,shoe,sapato
138,skin,pele
139,skirt,saia
140,snake,cobra
141,sock,meia
142,spade,pá
143,sponge,esponja
144,spoon,colher
145,spring,mola
146,square,quadrado
147,stamp,selo
148,star,estrela
149,station,estação
150,stem,caule
151,stick,graveto
152,stocking,meia-calça
153,stomach,estômago
154,store,loja
155,street,rua
156,sun,sol
157,table,mesa
158,tail,rabo
159,thread,linha (fio)
160,throat,garganta
161,thumb,polegar
162,ticket,bilhete
163,toe,dedo do pé
164,tongue,língua
165,tooth,dente
166,town,cidade
167,train,trem
168,tray,bandeja
169,tree,árvore
170,trousers,calça
171,umbrella,guarda-chuva
172,wall,parede
173,watch,relógio de pulso
174,wheel,roda
175,whip,chicote
176,whistle,apito
177,window,janela
178,wing,asa
179,wire,fio
180,worm,minhoca
181,arch,arco
182,arm,braço
183,band,banda
184,bed,cama
